Month,Passengers
0,242
1,233
2,267
3,269
4,270
5,315
6,364
7,347
8,312
9,274
10,237
11,278
12,284
13,277
14,317
15,313
16,318
17,374
18,413
19,405
20,355
21,306
22,271
23,306
24,315
25,301
26,356
27,348
28,355
29,422
30,465
31,467
32,404
33,347
34,305
35,336
36,340
37,318
38,362
39,348
40,363
41,435
42,491
43,505
44,404
45,359
46,310
47,337
48,360
49,342
50,406
51,396
52,420
53,472
54,548
55,559
56,463
57,407
58,362
59,405
60,417
61,391
62,419
63,461
64,472
65,535
66,622
67,606
68,508
69,461
70,390
71,432
